company,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
IBM,21942,22228,19050,19409,20076,21604,22201,23081
MSFT,151978,160010,162924,173566,183136,194683,220714,238268
AAPL,64280,71932,67399,58107,56727,62158,60274,74100
GOOG,237565,244567,254004,255419,253626,260894,267141,273202
META,138227,133360,123228,125713,125713,124795,134033,142873
PG,46408,44893,46854,47065,47065,45421,48014,48829
GE,,,,,,,,
