company,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
IBM,18745,11418,14197,15535,14107,14252,15475,14752
MSFT,45317,51728,49360,50122,52747,52857,56517,62020
AAPL,81434,123945,97278,82959,117154,94836,81797,119575
GOOG,61880,65118,68011,69685,69092,69787,74604,76693
META,29077,29010,27908,28822,27714,28645,31999,34146
PG,20338,20953,19381,20612,20773,20068,21871,21441
GE,18279,18429,12675,14127,14470,14486,16699,17346
